,County,Data Generation Date,OSHPD Project Status,Total Costs of OSHPD Projects,Number of OSHPD Projects,Collection of Counties
426,49 - Sonoma,10/15/13,Pending Construction,6341395,0,Bay Area Counties
427,49 - Sonoma,10/15/13,In Construction,132737275.3,0,Bay Area Counties
428,49 - Sonoma,10/15/13,In Closure,32748009.3,0,Bay Area Counties
429,50 - Stanislaus,10/15/13,In Review,24526158,0,NA
430,50 - Stanislaus,10/15/13,Pending Construction,5179927,0,NA
431,50 - Stanislaus,10/15/13,In Construction,65302660.66,0,NA
432,50 - Stanislaus,10/15/13,In Closure,27340081.48,0,NA
433,51 - Sutter,10/15/13,In Review,12654500,0,NA
434,51 - Sutter,10/15/13,Pending Construction,80683,0,NA
435,51 - Sutter,10/15/13,In Construction,31850,0,NA
436,51 - Sutter,10/15/13,In Closure,23000,0,NA
437,52 - Tehama,10/15/13,In Review,359700,0,NA
438,52 - Tehama,10/15/13,Pending Construction,414500,0,NA
439,52 - Tehama,10/15/13,In Construction,1809800,0,NA
440,52 - Tehama,10/15/13,In Closure,0,0,NA
441,53 - Trinity,10/15/13,In Review,8200,0,NA
442,53 - Trinity,10/15/13,Pending Construction,13200,0,NA
443,53 - Trinity,10/15/13,In Construction,313838,0,NA
444,53 - Trinity,10/15/13,In Closure,0,0,NA
445,54 - Tulare,10/15/13,In Review,38600400,0,NA
446,54 - Tulare,10/15/13,Pending Construction,2100766.29,0,NA
447,54 - Tulare,10/15/13,In Construction,83883087,0,NA
448,54 - Tulare,10/15/13,In Closure,6858142.98,0,NA
449,55 - Tuolumne,10/15/13,In Review,8000,0,NA
450,55 - Tuolumne,10/15/13,Pending Construction,1007100,0,NA
451,55 - Tuolumne,10/15/13,In Construction,634000,0,NA
452,55 - Tuolumne,10/15/13,In Closure,1196273.91,0,NA
453,56 - Ventura,10/15/13,In Review,235186420.7,0,Greater Los Angeles Counties
454,56 - Ventura,10/15/13,Pending Construction,29824356.33,0,Greater Los Angeles Counties
455,56 - Ventura,10/15/13,In Construction,379077499,0,Greater Los Angeles Counties
456,56 - Ventura,10/15/13,In Closure,30228225,0,Greater Los Angeles Counties
457,57 - Yolo,10/15/13,In Review,683540,0,Greater Sacramento Counties
458,57 - Yolo,10/15/13,Pending Construction,588100,0,Greater Sacramento Counties
459,57 - Yolo,10/15/13,In Construction,1483044,0,Greater Sacramento Counties
460,57 - Yolo,10/15/13,In Closure,59405,0,Greater Sacramento Counties
461,58 - Yuba,10/15/13,In Review,31462206.5,0,NA
462,58 - Yuba,10/15/13,Pending Construction,32194189.5,0,NA
463,58 - Yuba,10/15/13,In Construction,68363126,0,NA
464,58 - Yuba,10/15/13,In Closure,446592,0,NA
465,01 - Alameda,10/31/13,In Review,45409835,50,Bay Area Counties
466,01 - Alameda,10/31/13,Pending Construction,569364370.3,119,Bay Area Counties
467,01 - Alameda,10/31/13,In Construction,1263710159,182,Bay Area Counties
468,01 - Alameda,10/31/13,In Closure,71827633.86,79,Bay Area Counties
469,02 - Alpine,10/31/13,In Review,0,0,NA
470,02 - Alpine,10/31/13,Pending Construction,0,0,NA
471,02 - Alpine,10/31/13,In Construction,0,0,NA
472,02 - Alpine,10/31/13,In Closure,0,0,NA
473,03 - Amador,10/31/13,In Review,1610809,2,NA
474,03 - Amador,10/31/13,Pending Construction,0,0,NA
475,03 - Amador,10/31/13,In Construction,1838095,9,NA
476,03 - Amador,10/31/13,In Closure,0,0,NA
477,04 - Butte,10/31/13,In Review,6216107,10,NA
478,04 - Butte,10/31/13,Pending Construction,2182000,8,NA
479,04 - Butte,10/31/13,In Construction,90624945,13,NA
480,04 - Butte,10/31/13,In Closure,922211,7,NA
481,05 - Calaveras,10/31/13,In Review,45000,1,NA
482,05 - Calaveras,10/31/13,Pending Construction,51500,2,NA
483,05 - Calaveras,10/31/13,In Construction,0,0,NA
484,05 - Calaveras,10/31/13,In Closure,168991,1,NA
485,06 - Colusa,10/31/13,In Review,15000,1,NA
486,06 - Colusa,10/31/13,Pending Construction,26951,2,NA
487,06 - Colusa,10/31/13,In Construction,0,0,NA
488,06 - Colusa,10/31/13,In Closure,0,0,NA
489,07 - Contra Costa,10/31/13,In Review,18949040,27,Bay Area Counties
490,07 - Contra Costa,10/31/13,Pending Construction,18542516,42,Bay Area Counties
491,07 - Contra Costa,10/31/13,In Construction,37518864.98,59,Bay Area Counties
492,07 - Contra Costa,10/31/13,In Closure,4910047,18,Bay Area Counties
493,08 - Del Norte,10/31/13,In Review,0,0,NA
494,08 - Del Norte,10/31/13,Pending Construction,0,0,NA
495,08 - Del Norte,10/31/13,In Construction,6763431,5,NA
496,08 - Del Norte,10/31/13,In Closure,262211,1,NA
497,09 - El Dorado,10/31/13,In Review,11759315,6,Greater Sacramento Counties
498,09 - El Dorado,10/31/13,Pending Construction,12500,1,Greater Sacramento Counties
499,09 - El Dorado,10/31/13,In Construction,12210865,6,Greater Sacramento Counties
500,09 - El Dorado,10/31/13,In Closure,23367713,4,Greater Sacramento Counties
501,10 - Fresno,10/31/13,In Review,38504132.71,39,NA
502,10 - Fresno,10/31/13,Pending Construction,9572508,34,NA
503,10 - Fresno,10/31/13,In Construction,237304837.9,78,NA
504,10 - Fresno,10/31/13,In Closure,19127325.99,89,NA
505,11 - Glenn,10/31/13,In Review,0,0,NA
506,11 - Glenn,10/31/13,Pending Construction,0,0,NA
507,11 - Glenn,10/31/13,In Construction,224685,1,NA
508,11 - Glenn,10/31/13,In Closure,10000,1,NA
509,12 - Humboldt,10/31/13,In Review,5420000,9,NA
510,12 - Humboldt,10/31/13,Pending Construction,1456000,6,NA
511,12 - Humboldt,10/31/13,In Construction,88223714,15,NA
512,12 - Humboldt,10/31/13,In Closure,268300,4,NA
513,13 - Imperial,10/31/13,In Review,6035000,2,NA
514,13 - Imperial,10/31/13,Pending Construction,81500,3,NA
515,13 - Imperial,10/31/13,In Construction,98000,2,NA
516,13 - Imperial,10/31/13,In Closure,508711,2,NA
517,14 - Inyo,10/31/13,In Review,0,0,NA
518,14 - Inyo,10/31/13,Pending Construction,39903,2,NA
519,14 - Inyo,10/31/13,In Construction,9300,2,NA
520,14 - Inyo,10/31/13,In Closure,42165810.54,4,NA
521,15 - Kern,10/31/13,In Review,7412464,20,NA
522,15 - Kern,10/31/13,Pending Construction,1313709,16,NA
523,15 - Kern,10/31/13,In Construction,67076722,33,NA
524,15 - Kern,10/31/13,In Closure,18486899.9,38,NA
525,16 - Kings,10/31/13,In Review,440000,6,NA
526,16 - Kings,10/31/13,Pending Construction,28270000,7,NA
527,16 - Kings,10/31/13,In Construction,318722,6,NA
528,16 - Kings,10/31/13,In Closure,715484.13,12,NA
529,17 - Lake,10/31/13,In Review,243000,2,NA
530,17 - Lake,10/31/13,Pending Construction,167500,3,NA
531,17 - Lake,10/31/13,In Construction,5716410.23,16,NA
532,17 - Lake,10/31/13,In Closure,22628.04,1,NA
533,18 - Lassen,10/31/13,In Review,326000,1,NA
534,18 - Lassen,10/31/13,Pending Construction,145120,1,NA
535,18 - Lassen,10/31/13,In Construction,1164643,9,NA
536,18 - Lassen,10/31/13,In Closure,0,0,NA
537,19 - Los Angeles,10/31/13,In Review,515003508.2,408,Greater Los Angeles Counties
538,19 - Los Angeles,10/31/13,Pending Construction,206388093.5,500,Greater Los Angeles Counties
539,19 - Los Angeles,10/31/13,In Construction,2319040140,855,Greater Los Angeles Counties
540,19 - Los Angeles,10/31/13,In Closure,561845225.7,678,Greater Los Angeles Counties
541,20 - Madera,10/31/13,In Review,695954,1,NA
542,20 - Madera,10/31/13,Pending Construction,25000,1,NA
543,20 - Madera,10/31/13,In Construction,4947508,21,NA
544,20 - Madera,10/31/13,In Closure,15973640.85,21,NA
545,21 - Marin,10/31/13,In Review,178947915,18,Bay Area Counties
546,21 - Marin,10/31/13,Pending Construction,44770375,11,Bay Area Counties
547,21 - Marin,10/31/13,In Construction,25346899,20,Bay Area Counties
548,21 - Marin,10/31/13,In Closure,4671837,11,Bay Area Counties
549,22 - Mariposa,10/31/13,In Review,0,0,NA
550,22 - Mariposa,10/31/13,Pending Construction,0,0,NA
551,22 - Mariposa,10/31/13,In Construction,0,0,NA
552,22 - Mariposa,10/31/13,In Closure,0,0,NA
553,23 - Mendocino,10/31/13,In Review,3596175,8,NA
554,23 - Mendocino,10/31/13,Pending Construction,16013000,5,NA
555,23 - Mendocino,10/31/13,In Construction,2246074,13,NA
556,23 - Mendocino,10/31/13,In Closure,37709600,6,NA
557,24 - Merced,10/31/13,In Review,233600,4,NA
558,24 - Merced,10/31/13,Pending Construction,242700,4,NA
559,24 - Merced,10/31/13,In Construction,12965854,4,NA
560,24 - Merced,10/31/13,In Closure,341860.2,5,NA
561,25 - Modoc,10/31/13,In Review,0,0,NA
562,25 - Modoc,10/31/13,Pending Construction,12500,1,NA
563,25 - Modoc,10/31/13,In Construction,0,0,NA
564,25 - Modoc,10/31/13,In Closure,0,0,NA
565,26 - Mono,10/31/13,In Review,190794,2,NA
566,26 - Mono,10/31/13,Pending Construction,0,0,NA
567,26 - Mono,10/31/13,In Construction,13000,4,NA
568,26 - Mono,10/31/13,In Closure,533972,2,NA
569,27 - Monterey,10/31/13,In Review,1941290,9,NA
570,27 - Monterey,10/31/13,Pending Construction,1483276,13,NA
571,27 - Monterey,10/31/13,In Construction,36485171,20,NA
572,27 - Monterey,10/31/13,In Closure,4644729,19,NA
573,28 - Napa,10/31/13,In Review,1035000,5,Bay Area Counties
574,28 - Napa,10/31/13,Pending Construction,669298,6,Bay Area Counties
575,28 - Napa,10/31/13,In Construction,34384230,13,Bay Area Counties
576,28 - Napa,10/31/13,In Closure,50549387.76,22,Bay Area Counties
577,29 - Nevada,10/31/13,In Review,15462056,6,NA
578,29 - Nevada,10/31/13,Pending Construction,3819556,4,NA
579,29 - Nevada,10/31/13,In Construction,30359994,21,NA
580,29 - Nevada,10/31/13,In Closure,0,0,NA
581,30 - Orange,10/31/13,In Review,24759361.33,72,Greater Los Angeles Counties
582,30 - Orange,10/31/13,Pending Construction,37318492.33,71,Greater Los Angeles Counties
583,30 - Orange,10/31/13,In Construction,286587802.1,143,Greater Los Angeles Counties
584,30 - Orange,10/31/13,In Closure,322055635.5,199,Greater Los Angeles Counties
585,31 - Placer,10/31/13,In Review,8997190,9,Greater Sacramento Counties
586,31 - Placer,10/31/13,Pending Construction,694000,6,Greater Sacramento Counties
587,31 - Placer,10/31/13,In Construction,56976629.8,18,Greater Sacramento Counties
588,31 - Placer,10/31/13,In Closure,76386793.61,17,Greater Sacramento Counties
589,32 - Plumas,10/31/13,In Review,45441,2,NA
590,32 - Plumas,10/31/13,Pending Construction,83000,2,NA
591,32 - Plumas,10/31/13,In Construction,85900,2,NA
592,32 - Plumas,10/31/13,In Closure,0,0,NA
593,33 - Riverside,10/31/13,In Review,307874634.7,71,NA
594,33 - Riverside,10/31/13,Pending Construction,136139194,67,NA
595,33 - Riverside,10/31/13,In Construction,142562559.6,123,NA
596,33 - Riverside,10/31/13,In Closure,61303344.27,110,NA
597,34 - Sacramento,10/31/13,In Review,47671930,37,Greater Sacramento Counties
598,34 - Sacramento,10/31/13,Pending Construction,93304886,37,Greater Sacramento Counties
599,34 - Sacramento,10/31/13,In Construction,266714209.9,127,Greater Sacramento Counties
600,34 - Sacramento,10/31/13,In Closure,106858864.6,51,Greater Sacramento Counties
601,35 - San Benito,10/31/13,In Review,0,0,NA
602,35 - San Benito,10/31/13,Pending Construction,0,0,NA
603,35 - San Benito,10/31/13,In Construction,14215455,4,NA
604,35 - San Benito,10/31/13,In Closure,252000,2,NA
605,36 - San Bernardino,10/31/13,In Review,683636244.5,42,NA
606,36 - San Bernardino,10/31/13,Pending Construction,15640664.78,48,NA
607,36 - San Bernardino,10/31/13,In Construction,201245550.3,119,NA
608,36 - San Bernardino,10/31/13,In Closure,177268881.3,77,NA
609,37 - San Diego,10/31/13,In Review,509544535.7,119,NA
610,37 - San Diego,10/31/13,Pending Construction,113287340.7,111,NA
611,37 - San Diego,10/31/13,In Construction,620160162.1,207,NA
612,37 - San Diego,10/31/13,In Closure,446284663.2,228,NA
613,38 - San Francisco,10/31/13,In Review,919625973.3,62,Bay Area Counties
614,38 - San Francisco,10/31/13,Pending Construction,482606378.1,61,Bay Area Counties
615,38 - San Francisco,10/31/13,In Construction,1039723884,132,Bay Area Counties
616,38 - San Francisco,10/31/13,In Closure,290313873.4,98,Bay Area Counties
617,39 - San Joaquin,10/31/13,In Review,4934549.8,23,NA
618,39 - San Joaquin,10/31/13,Pending Construction,90691420,31,NA
619,39 - San Joaquin,10/31/13,In Construction,24619644.58,45,NA
620,39 - San Joaquin,10/31/13,In Closure,18770078.44,17,NA
621,40 - San Luis Obispo,10/31/13,In Review,2903415,12,NA
622,40 - San Luis Obispo,10/31/13,Pending Construction,1539721.8,13,NA
623,40 - San Luis Obispo,10/31/13,In Construction,4703570.1,14,NA
624,40 - San Luis Obispo,10/31/13,In Closure,9639964.02,31,NA
625,41 - San Mateo,10/31/13,In Review,74115764.16,27,Bay Area Counties
626,41 - San Mateo,10/31/13,Pending Construction,40621929.46,29,Bay Area Counties
627,41 - San Mateo,10/31/13,In Construction,348313671,65,Bay Area Counties
628,41 - San Mateo,10/31/13,In Closure,66382812.79,44,Bay Area Counties
629,42 - Santa Barbara,10/31/13,In Review,10363000,14,NA
630,42 - Santa Barbara,10/31/13,Pending Construction,81426413.4,23,NA
631,42 - Santa Barbara,10/31/13,In Construction,296429291.8,35,NA
632,42 - Santa Barbara,10/31/13,In Closure,95427783.79,23,NA
633,43 - Santa Clara,10/31/13,In Review,713665546.9,73,Bay Area Counties
634,43 - Santa Clara,10/31/13,Pending Construction,64901105,62,Bay Area Counties
635,43 - Santa Clara,10/31/13,In Construction,928177745.9,160,Bay Area Counties
636,43 - Santa Clara,10/31/13,In Closure,95076342.95,130,Bay Area Counties
637,44 - Santa Cruz,10/31/13,In Review,11340229,8,NA
638,44 - Santa Cruz,10/31/13,Pending Construction,145671,7,NA
639,44 - Santa Cruz,10/31/13,In Construction,3814331.99,20,NA
640,44 - Santa Cruz,10/31/13,In Closure,9878627.5,15,NA
641,45 - Shasta,10/31/13,In Review,24118645,18,NA
642,45 - Shasta,10/31/13,Pending Construction,2108028,15,NA
643,45 - Shasta,10/31/13,In Construction,5229507.81,18,NA
644,45 - Shasta,10/31/13,In Closure,9013286,4,NA
645,46 - Sierra,10/31/13,In Review,0,0,NA
646,46 - Sierra,10/31/13,Pending Construction,0,0,NA
647,46 - Sierra,10/31/13,In Construction,0,0,NA
648,46 - Sierra,10/31/13,In Closure,0,0,NA
649,47 - Siskiyou,10/31/13,In Review,10000,1,NA
650,47 - Siskiyou,10/31/13,Pending Construction,726700,3,NA
651,47 - Siskiyou,10/31/13,In Construction,1090562.07,7,NA
652,47 - Siskiyou,10/31/13,In Closure,60000,2,NA
653,48 - Solano,10/31/13,In Review,3834399,13,Bay Area Counties
654,48 - Solano,10/31/13,Pending Construction,10073105,12,Bay Area Counties
655,48 - Solano,10/31/13,In Construction,42060213.13,30,Bay Area Counties
656,48 - Solano,10/31/13,In Closure,31650416,19,Bay Area Counties
657,49 - Sonoma,10/31/13,In Review,30909318.6,13,Bay Area Counties
658,49 - Sonoma,10/31/13,Pending Construction,6849255,23,Bay Area Counties
659,49 - Sonoma,10/31/13,In Construction,131977564.3,44,Bay Area Counties
660,49 - Sonoma,10/31/13,In Closure,33643426.3,19,Bay Area Counties
661,50 - Stanislaus,10/31/13,In Review,25318158,17,NA
662,50 - Stanislaus,10/31/13,Pending Construction,5173927,19,NA
663,50 - Stanislaus,10/31/13,In Construction,65268660.66,36,NA
664,50 - Stanislaus,10/31/13,In Closure,27352949.97,41,NA
665,51 - Sutter,10/31/13,In Review,12654500,3,NA
666,51 - Sutter,10/31/13,Pending Construction,80683,3,NA
667,51 - Sutter,10/31/13,In Construction,26850,2,NA
668,51 - Sutter,10/31/13,In Closure,23000,1,NA
669,52 - Tehama,10/31/13,In Review,359700,2,NA
670,52 - Tehama,10/31/13,Pending Construction,414500,6,NA
671,52 - Tehama,10/31/13,In Construction,1809800,4,NA
672,52 - Tehama,10/31/13,In Closure,0,0,NA
673,53 - Trinity,10/31/13,In Review,8200,2,NA
674,53 - Trinity,10/31/13,Pending Construction,13200,2,NA
675,53 - Trinity,10/31/13,In Construction,409272,1,NA
676,53 - Trinity,10/31/13,In Closure,0,0,NA
677,54 - Tulare,10/31/13,In Review,34707400,16,NA
678,54 - Tulare,10/31/13,Pending Construction,2600766.29,7,NA
679,54 - Tulare,10/31/13,In Construction,83883087,11,NA
680,54 - Tulare,10/31/13,In Closure,6151336.26,25,NA
681,55 - Tuolumne,10/31/13,In Review,8000,1,NA
682,55 - Tuolumne,10/31/13,Pending Construction,1007100,6,NA
683,55 - Tuolumne,10/31/13,In Construction,634000,4,NA
684,55 - Tuolumne,10/31/13,In Closure,1176273.91,12,NA
685,56 - Ventura,10/31/13,In Review,235049632.7,42,Greater Los Angeles Counties
686,56 - Ventura,10/31/13,Pending Construction,29541356.33,34,Greater Los Angeles Counties
687,56 - Ventura,10/31/13,In Construction,374855499,67,Greater Los Angeles Counties
688,56 - Ventura,10/31/13,In Closure,34663225,55,Greater Los Angeles Counties
689,57 - Yolo,10/31/13,In Review,745911,6,Greater Sacramento Counties
690,57 - Yolo,10/31/13,Pending Construction,584000,3,Greater Sacramento Counties
691,57 - Yolo,10/31/13,In Construction,1487144,8,Greater Sacramento Counties
692,57 - Yolo,10/31/13,In Closure,59405,2,Greater Sacramento Counties
693,58 - Yuba,10/31/13,In Review,31462206.5,2,NA
694,58 - Yuba,10/31/13,Pending Construction,32194189.5,3,NA
695,58 - Yuba,10/31/13,In Construction,68363126,5,NA
696,58 - Yuba,10/31/13,In Closure,446592,4,NA
697,01 - Alameda,11/14/13,In Review,37919835,46,Bay Area Counties
698,01 - Alameda,11/14/13,Pending Construction,409243809.3,123,Bay Area Counties
699,01 - Alameda,11/14/13,In Construction,1473794712,184,Bay Area Counties
700,01 - Alameda,11/14/13,In Closure,71666736.8,74,Bay Area Counties
701,02 - Alpine,11/14/13,In Review,0,0,NA
702,02 - Alpine,11/14/13,Pending Construction,0,0,NA
703,02 - Alpine,11/14/13,In Construction,0,0,NA
704,02 - Alpine,11/14/13,In Closure,0,0,NA
705,03 - Amador,11/14/13,In Review,1293951,1,NA
706,03 - Amador,11/14/13,Pending Construction,316858,1,NA
707,03 - Amador,11/14/13,In Construction,1838095,9,NA
708,03 - Amador,11/14/13,In Closure,0,0,NA
709,04 - Butte,11/14/13,In Review,6216107,10,NA
710,04 - Butte,11/14/13,Pending Construction,2182000,8,NA
711,04 - Butte,11/14/13,In Construction,90624945,13,NA
712,04 - Butte,11/14/13,In Closure,922211,7,NA
713,05 - Calaveras,11/14/13,In Review,45000,1,NA
714,05 - Calaveras,11/14/13,Pending Construction,51500,2,NA
715,05 - Calaveras,11/14/13,In Construction,0,0,NA
716,05 - Calaveras,11/14/13,In Closure,168991,1,NA
717,06 - Colusa,11/14/13,In Review,15000,1,NA
718,06 - Colusa,11/14/13,Pending Construction,25000,1,NA
719,06 - Colusa,11/14/13,In Construction,1951,1,NA
720,06 - Colusa,11/14/13,In Closure,0,0,NA
721,07 - Contra Costa,11/14/13,In Review,17827243,23,Bay Area Counties
722,07 - Contra Costa,11/14/13,Pending Construction,19663813,46,Bay Area Counties
723,07 - Contra Costa,11/14/13,In Construction,37597941.98,57,Bay Area Counties
724,07 - Contra Costa,11/14/13,In Closure,4951070,21,Bay Area Counties
725,08 - Del Norte,11/14/13,In Review,0,0,NA
726,08 - Del Norte,11/14/13,Pending Construction,0,0,NA
727,08 - Del Norte,11/14/13,In Construction,6763431,5,NA
728,08 - Del Norte,11/14/13,In Closure,262211,1,NA
729,09 - El Dorado,11/14/13,In Review,11759315,6,Greater Sacramento Counties
730,09 - El Dorado,11/14/13,Pending Construction,12500,1,Greater Sacramento Counties
731,09 - El Dorado,11/14/13,In Construction,12210865,6,Greater Sacramento Counties
732,09 - El Dorado,11/14/13,In Closure,23367713,4,Greater Sacramento Counties
733,10 - Fresno,11/14/13,In Review,38519132.71,40,NA
734,10 - Fresno,11/14/13,Pending Construction,9320008,32,NA
735,10 - Fresno,11/14/13,In Construction,237789742.9,80,NA
736,10 - Fresno,11/14/13,In Closure,16278368.08,70,NA
737,11 - Glenn,11/14/13,In Review,0,0,NA
738,11 - Glenn,11/14/13,Pending Construction,0,0,NA
739,11 - Glenn,11/14/13,In Construction,224685,1,NA
740,11 - Glenn,11/14/13,In Closure,10000,1,NA
741,12 - Humboldt,11/14/13,In Review,5420000,9,NA
